X,Y
2.275,4.315
3.03,9.566
1.285,4.231
2.224,3.73
2.926,6.266
2.316,2.736
-0.164,1.934
2.855,5.413
2.103,5.558
1.982,7.936
2.139,7.685
3.265,3.876
2.278,3.769
2.715,3.927
3.138,5.637
2.075,4.57
2.34,5.348
1.784,1.124
2.779,5.954
1.129,2.076
2.394,3.298
5.702,5.422
1.198,7.033
0.032,5.976
3.119,4.236
3.577,6.455
2.563,5.178
1.447,6.834
1.234,6.617
3.157,5.088
2.931,4.792
2.749,6.375
2.526,4.395
1.696,7.106
0.088,3.291
1.417,4.205
2.327,4.077
2.621,5.185
3.818,6.387
1.863,2.934
0.56,7.143
1.755,9.473
0.911,3.335
3.053,2.439
0.333,5.26
0.8,2.826
1.882,6.206
2.69,3.523
2.627,3.805
1.481,4.777
1.366,5.683
4.017,5.069
1.789,6.769
2.281,1.042
1.609,7.451
1.341,3.318
2.911,7.707
3.103,3.945
3.3,6.634
2.25,8.305
3.166,8.747
1.383,4.32
0.334,6.459
1.415,5.907
2.381,6.973
2.031,6.387
2.435,5.029
1.306,3.221
1.914,5.58
1.995,5.414
-0.292,2.622
1.264,1.966
2.645,4.683
1.287,6.899
2.743,3.138
1.501,4.399
3.116,3.54
2.564,9.026
2.649,4.916
2.71,4.501
2.565,4.07
1.748,3.451
2.109,5.223
2.108,6.369
3.238,3.317
2.146,5.951
1.356,5.436
3.013,4.372
1.105,4.963
2.9,4.719
3.67,7.42
1.053,5.656
3.007,4.191
3.273,5.974
2.81,4.925
2.487,3.912
3.226,6.34
1.526,8.495
3.425,5.748
0.849,5.688
2.65,4.891
2.784,4.828
2.124,6.106
2.106,9.265
1.942,4.806
2.228,5.736
1.79,6.
3.685,5.22
2.184,2.075
1.701,6.069
1.521,3.737
3.103,6.16
1.228,3.443
2.248,7.607
1.065,2.136
1.498,5.137
4.448,7.195
1.02,2.436
3.786,5.183
1.845,6.213
1.936,7.354
0.658,1.631
1.041,6.32
1.934,4.102
1.551,5.372
2.048,3.876
1.768,5.517
1.605,4.796
3.101,5.61
2.465,5.864
1.373,7.292
2.176,1.6
3.836,5.642
2.762,6.184
0.304,4.977
0.399,1.672
2.489,3.362
1.139,2.055
2.138,4.671
-0.059,3.371
2.409,5.867
-0.261,5.614
2.27,7.326
2.177,7.775
1.769,7.302
4.155,5.906
2.407,3.512
0.642,6.809
2.773,5.687
1.13,2.875
2.751,5.01
0.055,4.153
2.613,4.232
0.8,4.337
0.281,4.883
0.609,7.969
1.454,6.15
2.195,6.103
2.884,7.466
1.184,4.215
0.602,4.587
2.802,4.486
2.437,3.406
2.219,4.237
1.979,3.014
2.624,1.324
1.92,4.48
1.22,4.744
0.629,0.662
2.869,7.338
1.697,4.248
2.126,6.169
2.22,2.678
2.021,7.477
2.873,7.268
1.142,3.286
1.33,3.456
2.115,7.407
1.326,6.989
1.011,4.95
2.652,6.823
2.988,5.095
1.562,5.902
2.147,5.7
1.42,3.147
2.461,2.682
3.628,3.835
4.368,3.554
2.955,3.829
1.343,10.332
0.18,5.94
0.76,5.06
-0.241,2.894
1.706,4.511
-0.277,1.321
2.447,3.419
1.17,4.185
3.92,4.137
1.722,2.545
2.738,4.492
1.418,8.187
1.446,5.123
1.414,6.059
1.604,2.886
0.94,8.502
1.908,6.512
1.065,5.595
1.588,6.712
3.496,4.895
3.252,5.783
3.226,6.604
3.022,5.401
2.498,4.891
2.399,4.663
1.692,2.81
3.111,3.773
2.93,4.21
2.127,5.961
2.079,8.253
1.717,4.348
1.881,6.483
2.525,7.277
0.267,5.232
1.698,4.061
3.351,3.909
1.419,4.227
1.083,1.46
3.086,4.516
1.547,5.443
2.2,5.098
3.114,5.369
2.712,5.09
1.854,5.132
1.608,4.483
0.745,3.291
4.123,4.095
0.942,3.913
2.973,6.763
3.149,7.167
2.259,3.178
0.429,2.708
3.524,4.723
3.214,5.883
1.815,8.355
1.954,5.378
1.065,2.876
3.503,3.797
0.556,6.127
1.64,6.077
1.001,4.198
1.632,5.661
0.702,2.496
3.434,7.787
1.448,6.565
0.762,6.013
1.395,3.064
2.732,6.995
1.335,2.267
0.595,4.543
-0.064,2.568
4.523,5.338
1.834,8.051
0.894,5.052
2.063,5.233
2.133,3.92
2.117,5.323
2.436,4.925
1.49,7.648
1.788,2.754
2.364,4.11
3.942,8.164
0.939,3.983
0.949,3.798
2.331,6.368
3.596,8.568
1.653,3.722
5.045,7.297
2.1,6.367
1.623,3.652
1.04,2.076
3.362,3.515
2.356,3.192
0.064,5.469
2.703,4.26
2.49,5.564
2.524,5.088
3.373,7.
0.351,5.769
1.993,5.213
2.042,2.035
0.672,2.948
0.428,5.596
2.262,6.474
1.711,7.405
1.561,5.608
3.64,4.28
2.009,2.011
2.266,-0.548
2.901,7.353
1.,2.837
1.907,6.648
1.74,5.662
1.612,6.118
2.682,7.36
2.227,6.932
1.929,3.199
1.731,6.942
2.499,2.991
2.598,4.927
1.945,0.739
2.858,4.365
2.169,7.55
1.426,5.131
2.814,5.032
2.856,4.311
2.342,4.293
2.159,5.17
2.248,5.106
1.948,4.308
1.727,5.449
2.584,9.762
3.042,6.334
2.649,5.411
2.042,4.236
2.467,4.496
2.323,7.504
2.779,5.197
3.111,4.971
3.948,4.224
1.362,4.409
2.189,3.215
1.056,2.627
2.934,5.076
0.776,4.783
1.246,4.794
1.961,5.198
2.231,4.016
1.731,3.812
2.31,4.763
1.773,5.997
0.793,4.646
1.853,3.554
1.935,5.236
1.422,7.489
2.5,6.227
1.375,6.352
2.057,7.392
3.147,7.576
1.066,3.341
1.885,3.041
1.3,3.782
1.181,7.516
4.113,7.614
4.348,3.437
1.053,3.616
3.149,3.57
1.097,0.717
3.042,4.258
3.275,4.998
2.945,8.259
1.942,6.955
1.902,3.761
1.526,4.107
3.254,4.589
0.603,-2.045
2.59,6.216
2.595,5.23
1.558,4.957
0.934,2.622
2.605,5.164
1.68,3.252
3.742,2.861
2.732,6.201
2.574,5.83
0.787,5.687
1.442,4.497
0.195,4.838
0.745,3.112
0.44,3.826
1.444,2.653
2.948,5.674
2.724,4.504
2.291,4.094
3.27,7.811
0.579,3.237
2.141,3.603
2.624,6.986
1.385,6.598
1.403,5.898
0.773,5.402
2.592,5.912
1.016,5.289
2.289,4.749
1.433,4.724
2.165,5.465
2.4,6.449
1.464,2.171
2.143,6.927
1.887,4.221
2.195,1.298
2.458,3.23
1.755,6.939
0.811,5.713
2.666,3.463
3.225,5.997
3.741,4.421
2.531,3.645
3.047,7.312
2.523,5.671
1.285,6.064
1.537,4.645
1.776,6.423
3.426,7.633
0.331,5.936
2.554,6.114
0.815,5.251
2.272,4.146
3.333,7.931
1.061,6.601
1.358,4.197
3.349,4.242
-0.223,2.261
-0.148,3.982
1.246,6.44
1.44,3.568
2.052,4.509
1.652,6.865
2.623,6.888
1.564,6.93
1.523,4.602
0.927,3.563
3.615,6.772
1.454,5.582
2.518,7.335
-0.55,4.824
1.79,5.414
2.514,3.958
0.874,4.137
3.203,7.02
1.784,3.874
2.048,0.006
2.322,1.411
2.509,4.053
2.527,7.463
1.877,3.293
3.653,7.095
1.64,5.766
2.831,7.516
3.443,5.47
0.822,4.089
1.054,2.406
0.727,3.997
2.436,8.938
2.012,4.153
2.969,4.256
2.533,3.002
1.674,2.656
2.642,7.961
2.667,3.117
2.929,7.477
2.967,3.638
4.083,8.592
1.644,4.001
2.397,6.865
2.03,3.545
1.432,4.602
1.623,5.09
3.249,5.443
1.534,6.307
0.246,4.441
2.615,6.565
3.451,7.708
1.88,5.26
2.29,6.446
0.964,2.619
1.223,4.092
3.511,3.784
2.49,7.056
3.843,3.556
0.571,6.328
1.489,4.768
2.419,7.214
2.578,2.504
2.555,6.299
1.096,3.99
2.091,5.63
1.407,5.717
3.767,1.363
1.691,6.236
1.508,8.256
1.859,4.58
2.766,7.793
1.499,3.784
2.555,6.8
1.195,2.466
2.933,7.437
2.031,5.854
-0.246,5.807
1.394,4.173
2.813,4.789
3.705,6.204
1.124,5.798
1.312,4.95
0.676,3.847
0.538,3.521
2.908,5.858
0.554,3.504
0.769,4.786
2.185,1.575
2.593,3.833
2.629,3.764
